"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"333",0.08,0.64,0.285714285714286,0.0118250211197489,0.000813929855988417,0.0126389509757374,0.999101463058664
"334",0.09,0.64,0.321428571428571,0.00190580393429993,0.00323578489764401,0.00514158883194394,0.990682402643369
"335",0.1,0.64,0.357142857142857,0.00187711696837432,2.14162946923772e-05,0.0018985332630667,0.965314138176489
"336",0.11,0.64,0.392857142857143,0.00595269770842026,0.00255762907923659,0.00851032678765685,0.976256688267463
"337",0.12,0.64,0.428571428571428,0.0158494886422233,0.0097324127491555,0.0255819013913788,1.02749977715944
"338",0.13,0.64,0.464285714285714,0.017480825304047,0.00347638634352622,0.0209572116475732,1.00116617815551
"339",0.14,0.64,0.5,0.0147828311524742,0.00683948364395971,0.021622314796434,0.99409304631483
"340",0.15,0.64,0.535714285714286,0.0265116401893413,0.00841377353256073,0.0349254137219021,1.00501459854304
"341",0.16,0.64,0.571428571428571,0.00690065082843048,0.0417461095123583,0.0486467603407888,0.989030391589445
"342",0.17,0.64,0.607142857142857,0.0248370532216807,0.0709907266209739,0.0958277798426545,1.07102383019801
"343",0.18,0.64,0.642857142857143,0.0583606644455248,0.0196589706721033,0.0780196351176281,0.97669868235537
"344",0.19,0.64,0.678571428571428,0.0366310880814412,0.0611331766744158,0.097764264755857,0.995583421403685
"345",0.2,0.64,0.714285714285714,0.0924984307825069,0.0659607654214788,0.158459196203986,1.01743532674482
"346",0.21,0.64,0.75,0.126236249244465,0.123407505884658,0.249643755129123,1.00042800876857
"347",0.22,0.64,0.785714285714286,0.203204108578256,0.195140166928429,0.398344275506685,0.986586456899181
"348",0.23,0.64,0.821428571428571,0.337789218339154,0.333959663216709,0.671748881555863,1.0016415220643
"349",0.24,0.64,0.857142857142857,0.548986153624242,0.545073835951165,1.09405998957541,1.0274529845635
"350",0.25,0.64,0.892857142857143,0.818702655359342,0.816137669945668,1.63484032530501,1.003856885577
"351",0.01,0.65,0.0333333333333333,0.00219437937012389,0.00285384152536897,0.00504822089549285,0.989862269104646
