"","mu","p","theta","KLD","Population_Variance"
"2138",0.16,0.725,0.355555555555556,0.0535212223933226,0.894660273613905
"2139",0.165,0.725,0.366666666666667,0.0563595799267025,0.936452614413616
"2140",0.17,0.725,0.377777777777778,0.0610592479987567,0.974672895475704
"2141",0.175,0.725,0.388888888888889,0.0620611478525167,1.01034541693474
"2142",0.18,0.725,0.4,0.0624337829282035,1.05847152613381
"2143",0.185,0.725,0.411111111111111,0.0619747089778696,1.08183528349416
"2144",0.19,0.725,0.422222222222222,0.0512866448809793,1.14459854101871
"2145",0.195,0.725,0.433333333333333,0.0478130674773129,1.17358134788301
"2146",0.2,0.725,0.444444444444445,0.0376353371384865,1.22905621282392
"2147",0.205,0.725,0.455555555555556,0.020386891922462,1.29146153562899
"2148",0.21,0.725,0.466666666666667,0.0019939264464205,1.35275160125583
"2149",0.215,0.725,0.477777777777778,-0.0201127085551106,1.412677566032
"2150",0.22,0.725,0.488888888888889,-0.0507995330925466,1.47471625405079
"2151",0.225,0.725,0.5,-0.0827658800940674,1.55330173174477
"2152",0.23,0.725,0.511111111111111,-0.131754304810449,1.6449707969574
"2153",0.235,0.725,0.522222222222222,-0.174801002352156,1.71829715775701
"2154",0.24,0.725,0.533333333333333,-0.231925619311292,1.81017406393197
"2155",0.245,0.725,0.544444444444445,-0.300551789391286,1.9077899942663
"2156",0.25,0.725,0.555555555555556,-0.376431735214171,2.00347693597113
"2157",0.01,0.73,0.0217391304347826,-0.193329790957787,0.499465435424666
"2158",0.015,0.73,0.0326086956521739,-0.192088144552178,0.500310836183849
"2159",0.02,0.73,0.0434782608695652,-0.186712343421988,0.505031000027253
